repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
2,baseline,2,0.1,"[5, 5, 6]",1.3680862143270678,325.0077849660944,42.52659944435881,"(5, 4, 5)",100.0
2,baseline,2,0.1,"[6, 6, 7]",0.5739545679698796,253.258369282065,5.589963856298997,"(5, 5, 6)",150.0
2,baseline,2,0.1,"[7, 7, 9]",6.1951326553133415,646.3586667482627,715.2588075527207,"(6, 6, 7)",252.0
2,baseline,2,0.1,"[8, 8, 9]",0.8745688414968776,501.4070148217281,14.014842038928416,"(7, 7, 7)",343.0
2,baseline,2,0.1,"[9, 9, 11]",5.35397032816461,957.8388767771696,580.5531056875144,"(8, 8, 9)",576.0
2,baseline,2,0.1,"[10, 10, 11]",25.438095961302547,1143.2276233514085,12756.468082271742,"(8, 8, 9)",576.0
2,baseline,2,0.3,"[2, 2, 3]",,inf,,None,
2,baseline,2,0.3,"[3, 3, 4]",0.059218109395355004,-141.01595500789307,0.06079389435786745,"(3, 3, 3)",27.0
2,baseline,2,0.3,"[4, 4, 5]",0.0499999850344178,-134.36837487153767,0.04786010921550947,"(3, 4, 4)",48.0
2,baseline,2,0.3,"[5, 5, 6]",0.653192665234442,226.45037652981358,8.227698068434389,"(5, 4, 5)",100.0
2,baseline,2,0.3,"[6, 6, 7]",0.34329960515009683,199.12746225658708,2.267756547223374,"(5, 5, 6)",150.0
2,baseline,2,0.3,"[7, 7, 9]",5.70878563938822,602.5413871559125,627.8846382869536,"(6, 6, 6)",216.0
2,baseline,2,0.3,"[8, 8, 9]",0.9444461225149053,514.0897273183772,17.313654286376483,"(7, 7, 7)",343.0
2,baseline,2,0.3,"[9, 9, 11]",3.673167865255802,727.7692397520949,269.3883438238729,"(7, 7, 8)",392.0
2,baseline,2,0.3,"[10, 10, 11]",66.34271109186392,1189.7857499110014,80533.55148302016,"(8, 8, 8)",512.0
2,baseline,10,0.1,"[2, 2, 3]",0.06007015169718696,-151.19499801594276,0.06588024639651291,"(2, 2, 3)",12.0
2,baseline,10,0.1,"[3, 3, 4]",0.056787492825840974,-165.7862085170039,0.0516583477345869,"(2, 2, 3)",12.0
2,baseline,10,0.1,"[4, 4, 5]",0.04986788778778292,-135.65242383813523,0.046846745896187154,"(4, 3, 4)",48.0
2,baseline,10,0.1,"[5, 5, 6]",0.10799927189080942,-11.957430643559846,0.21596825621633944,"(4, 4, 5)",80.0
2,baseline,10,0.1,"[6, 6, 7]",1.1078421197706427,345.40675645762315,25.96577369056523,"(5, 5, 6)",150.0
2,baseline,10,0.1,"[7, 7, 9]",1.196209198789415,459.16680149266153,31.588086021896732,"(6, 6, 7)",252.0
2,baseline,10,0.1,"[8, 8, 9]",1.6759799544614369,590.8504850650727,62.23026255950829,"(7, 7, 7)",343.0
